DB08930,CHEMBL1229211
DB00656,CHEMBL621
DB00586,CHEMBL139
DB00830,CHEMBL1201208
DB00711,CHEMBL684
DB00420,CHEMBL564
DB01588,CHEMBL969
DB00904,CHEMBL46
DB08865,CHEMBL601719
DB04948,CHEMBL17860
DB06813,CHEMBL1201746
DB04835,CHEMBL1201187
DB01189,CHEMBL1200733
DB00843,CHEMBL502
DB08905,CHEMBL132530
DB00373,CHEMBL173706
DB00450,CHEMBL1108
DB00770,CHEMBL495
DB01224,CHEMBL716
DB01240,CHEMBL1139
DB06715,CHEMBL1141
DB00560,CHEMBL376140
DB00123,CHEMBL8085
DB01127,CHEMBL808
DB01261,CHEMBL1422
DB00445,CHEMBL417
DB01182,CHEMBL631
DB00368,CHEMBL1437
DB00458,CHEMBL11
DB00632,CHEMBL1200453
DB00936,CHEMBL424
DB00326,CHEMBL1237066
DB01392,CHEMBL15245
DB00155,CHEMBL444814
DB00567,CHEMBL1727
DB00358,CHEMBL416956
DB08916,CHEMBL1173655
DB01198,CHEMBL135400
DB00684,CHEMBL1747
DB00509,CHEMBL559
DB01223,CHEMBL1370561
DB01361,CHEMBL564085
DB08604,CHEMBL849
DB00407,CHEMBL1201448
DB00551,CHEMBL734
DB08807,CHEMBL357995
DB00538,CHEMBL1200457
DB01093,CHEMBL504
DB00680,CHEMBL1075
DB00768,CHEMBL1189432
DB01268,CHEMBL535
DB00782,CHEMBL1180725
DB09020,CHEMBL942
DB01274,CHEMBL1363
DB00882,CHEMBL954
DB00191,CHEMBL1574
DB01393,CHEMBL264374
DB01032,CHEMBL897
DB08946,CHEMBL867
DB00949,CHEMBL1094
DB08808,CHEMBL305380
DB00795,CHEMBL421
DB01068,CHEMBL452
DB00240,CHEMBL1201361
DB01251,CHEMBL383634
DB00226,CHEMBL1037
DB01051,CHEMBL36506
DB01175,CHEMBL1508
DB01013,CHEMBL1159650
DB01048,CHEMBL1380
DB00328,CHEMBL6
DB00922,CHEMBL2051955
DB00471,CHEMBL787
DB00783,CHEMBL135
DB01143,CHEMBL1006
DB01196,CHEMBL1575
DB01199,CHEMBL339427
DB01017,CHEMBL1434
DB01614,CHEMBL39560
DB00390,CHEMBL1751
DB06287,CHEMBL1201182
